20191014,20191020,0.60
20191021,20191027,0.68
20191028,20191103,0.68
20191104,20191110,0.59
20191111,20191117,0.67
20191118,20191124,0.61
20191125,20191201,0.43
20191202,20191208,0.43
20191209,20191215,0.43
20191216,20191222,0.38
20191223,20191229,0.38
20191230,20200105,0.56
20200106,20200112,0.47
